id_region,id_batiment,type_energie,unite,date_generation,compteur_id,date_mesure,consommation_value,source_filename,extraction_timestamp,source_type
REG01,,,,,,,,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:43.000,json
REG01,BATG01,electricite,KWh,2025-01-14,,,,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:43.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G01,2025-01-14T08:00:00,88.5,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G01,2025-01-14T09:00:00,90.1,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G01,2025-01-14T10:00:00,80.4,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G01,2025-01-14T11:00:00,116.4,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G02,2025-01-14T08:00:00,98.9,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G02,2025-01-14T08:00:00,98.9,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G02,2025-01-14T09:00:00,112.0,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G02,2025-01-14T09:00:00,112.0,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G02,2025-01-14T10:00:00,90.3,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-01-14,ELEC_G02,2025-01-14T11:00:00,115.9,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,,,,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_101,2025-01-14T08:00:00,87.2,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14, ELEC_101  ,2025-01-14T09:00:00,127.5,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_101,2025-01-14T10:00:00,80.3,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_101,2025-01-14T11:00:00,93.8,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_102,2025-01-14T08:00:00,-114.9,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_102,2025-01-14T08:00:00,-114.9,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_102,2025-01-14T09:00:00,95.8,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_102,2025-01-14T10:00:00,107.0,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_102,2025-01-14T10:00:00,107.0,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,ELEC_102,2025-01-14T11:00:00,95.5,Elec_consumption_01_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-01-14,,,,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,,,,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,ELEC_G01,2025-02-14T08:00:00,125.2,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,ELEC_G01,2025-02-14T09:00:00,101.7,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,ELEC_G01,2025-02-14T10:00:00,,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,ELEC_G01,2025-02-14T11:00:00,118.0,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,ELEC_G02,2025-02-14T08:00:00,84.7,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,ELEC_G02,2025-02-14T09:00:00,-82.1,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,ELEC_G02,2025-02-14T10:00:00,102.8,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BATG01,electricite,KWh,2025-02-14,ELEC_G02,2025-02-14T11:00:00,129.4,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,,,,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,ELEC_101,2025-02-14T08:00:00,91.7,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,ELEC_101,14/02/2025 09:00,100.6,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,ELEC_101,2025-02-14T10:00:00,118.5,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,ELEC_101,2025-02-14T11:00:00,98.4,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,ELEC_102,2025-02-14T08:00:00,112.8,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,ELEC_102,2025-02-14T09:00:00,116.7,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,ELEC_102,2025-02-14T10:00:00,85.0,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,BAT101,electricite,KWh,2025-02-14,ELEC_102,2025-02-14T11:00:00,88.1,Elec_consumption_02_2025.json                                                                       ,2026/01/07 14:06:44.000,json
REG01,,,,,,,,Eau_consumption_01_2025.json                                                                        ,2026/01/07 14:06:43.000,json
REG01,BATG01,eau,m3,2025-01-14,,,,Eau_consumption_01_2025.json                                                                        ,2026/01/07 14:06:44.000,json
REG01,BATG01,eau,m3,2025-01-14,EAU_001,2025-01-14T08:00:00,16.3,Eau_consumption_01_2025.json                                                                        ,2026/01/07 14:06:44.000,json
REG01,BATG01,eau,m3,2025-01-14, EAU_001  ,2025-01-14T09:00:00,9.8,Eau_consumption_01_2025.json                                                                        ,2026/01/07 14:06:44.000,json
REG01,BATG01,eau,m3,2025-01-14, EAU_001  ,2025-01-14T09:00:00,9.8,Eau_consumption_01_2025.json                                                                        ,2026/01/07 14:06:44.000,json
REG01,BATG01,eau,m3,2025-01-14,EAU_001,2025-01-14T10:00:00,8.3,Eau_consumption_01_2025.json                                                                        ,2026/01/07 14:06:44.000,json
