region_code,building_code,meter_type,meter_code,meter_unit,reading_date,consumption_value,temperature,building_name,region_name,source_type,source_filename,extraction_timestamp,date_generation,created_at,updated_at
REG01,BAT001,electricite,ELEC_001,kWh,2025-01-14 08:00:00,120.5,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,electricite,ELEC_001,kWh,2025-01-14 09:00:00,123.2,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,electricite,ELEC_001,kWh,2025-01-14 10:00:00,118.7,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,electricite,ELEC_001,kWh,2025-01-14 11:00:00,107.3,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,electricite,ELEC_002,kWh,2025-01-14 08:00:00,98.1,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,electricite,ELEC_002,kWh,2025-01-14 09:00:00,101.7,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,electricite,ELEC_002,kWh,14/01/2025 10:00   ,96.5,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,electricite,ELEC_002,kWh,2025-01-14 11:00:00,95.8,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,electricite,ELEC_003,kWh,2025-01-14 08:00:00,115.2,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,electricite,ELEC_003,kWh,2025-01-14 09:00:00,124.7,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,electricite,ELEC_004,kWh,2025-01-14 08:00:00,45.5,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,electricite,ELEC_004,kWh,2025-01-14 09:00:00,50.1,,,,json,Elec_consumption_01_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,electricite,ELEC_001,kWh,2025-02-15 08:00:00,125.3,,,,json,Elec_consumption_02_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT001,electricite,ELEC_001,kWh,2025-02-15 09:00:00,130.1,,,,json,Elec_consumption_02_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT001,electricite,ELEC_001,kWh,15/02/2025 10:00   ,122.5,,,,json,Elec_consumption_02_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT001,electricite,ELEC_002,kWh,2025-02-15 08:00:00,102.8,,,,json,Elec_consumption_02_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT002,electricite,ELEC_003,kWh,2025-02-15 08:00:00,118.9,,,,json,Elec_consumption_02_2025.json                                                                       ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT001,eau        ,EAU_001 ,m3 ,2025-01-14 08:00:00,1.5,,,,json,Eau_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,eau        ,EAU_001 ,m3 ,2025-01-14 09:00:00,1.67,,,,json,Eau_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,eau        ,EAU_001 ,m3 ,2025-01-14 10:00:00,1.72,,,,json,Eau_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,eau        ,EAU_002 ,m3 ,2025-01-14 08:00:00,2.15,,,,json,Eau_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,eau        ,EAU_002 ,m3 ,14/01/2025 09:00   ,2.23,,,,json,Eau_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT003,eau        ,EAU_003 ,m3 ,2025-01-14 08:00:00,3.1,,,,json,Eau_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT001,eau        ,EAU_001 ,m3 ,2025-02-15 08:00:00,1.6,,,,json,Eau_consumption_02_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT001,eau        ,EAU_001 ,m3 ,2025-02-15 09:00:00,1.71,,,,json,Eau_consumption_02_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT001,eau        ,EAU_002 ,m3 ,2025-02-15 08:00:00,2.2,,,,json,Eau_consumption_02_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT001,eau        ,EAU_002 ,m3 ,15/02/2025 09:00   ,2.3,,,,json,Eau_consumption_02_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT002,gaz        ,GAZ_001 ,m3 ,2025-01-14 08:00:00,3.5,,,,json,Gaz_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,gaz        ,GAZ_001 ,m3 ,2025-01-14 09:00:00,3.67,,,,json,Gaz_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,gaz        ,GAZ_001 ,m3 ,2025-01-14 10:00:00,3.8,,,,json,Gaz_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,gaz        ,GAZ_002 ,m3 ,2025-01-14 08:00:00,4.35,,,,json,Gaz_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,gaz        ,GAZ_002 ,m3 ,14/01/2025 09:00   ,5.03,,,,json,Gaz_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT006,gaz        ,GAZ_003 ,m3 ,2025-01-14 08:00:00,6.2,,,,json,Gaz_consumption_01_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-01-14,,
REG01,BAT002,gaz        ,GAZ_001 ,m3 ,2025-02-15 08:00:00,3.6,,,,json,Gaz_consumption_02_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT002,gaz        ,GAZ_001 ,m3 ,2025-02-15 09:00:00,3.72,,,,json,Gaz_consumption_02_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT002,gaz        ,GAZ_002 ,m3 ,2025-02-15 08:00:00,4.4,,,,json,Gaz_consumption_02_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT002,gaz        ,GAZ_002 ,m3 ,15/02/2025 09:00   ,5.1,,,,json,Gaz_consumption_02_2025.json                                                                        ,2025/12/31 23:46:07.000,2025-02-15,,
REG01,BAT001,electricite,ELEC_001,kWh,2025/01/01 23:00:00,17.03,17.71,DataCenter North,Casablanca-Settat,MySQ,GreenCity_Operational_Database.sql                                                                  ,2025/12/29 17:45:59.000,,2025/12/25 01:35:17,2025/12/25 01:35:17
REG01,BAT001,electricite,ELEC_001,kWh,2025/01/01 22:00:00,16.25,22.75,DataCenter North,Casablanca-Settat,MySQ,GreenCity_Operational_Database.sql                                                                  ,2025/12/29 17:45:59.000,,2025/12/25 01:35:17,2025/12/25 01:35:17
REG01,BAT001,electricite,ELEC_001,kWh,2025/01/01 21:00:00,33.6,11.92,DataCenter North,Casablanca-Settat,MySQ,GreenCity_Operational_Database.sql                                                                  ,2025/12/29 17:45:59.000,,2025/12/25 01:35:17,2025/12/25 01:35:17
