id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG02,BAT003,2025-02-28,318,1.629
REG03,BAT006,2025-02-28,99999,0.1
REG02,BAT003,2025/02/28,510,0.72
REG01,,2025-02-28,380,0.65
REG03,BAT006,2025-02-28,-987,0.391
REG03,BAT008,2025-02-28,610,1.267
REG03,BAT007,2025-02-28,660,0.471
REG01,BAT002,2025-02-28,396,1.304
REG05,BAT015,2025-02-28,-441,0.375
REG01,BAT001,2025-02-28,622,0.63
REG99,BAT999,2025-02-28,350,0.6
REG04,,2025-02-28,948,0.387
REG02,BAT004,2025-02-28,492,0.733
REG04,,2025-02-28,574,0.643
REG05,BAT014,2025-02-28,337,1.546
,BAT001,2025-02-28,420,0.7
REG02,BAT005,2025-02-28,240,0.46
