id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG03,BAT006,2025-03-31,906,0.467
REG03,BAT006,2025-03-31,99999,0.1
REG02,BAT003,2025-03-31,235,0.619
  REG99  ,BAT007,31/03/2025,,1.5
REG04,BAT016,2025-03-31,N/A,0.683
REG02,BAT003,2025/03/31,510,0.72
REG01,BAT002,2025-03-31,572,0.688
,BAT001,2025-03-31,420,0.7
REG02,BAT005,2025-03-31,538,0.779
  REG99  ,BAT014,31/03/2025,,1.5
REG03,BAT008,2025-03-31,613,0.675
REG01,,2025-03-31,380,0.65
  REG99  ,BAT004,31/03/2025,,1.5
  REG99  ,BAT013,31/03/2025,,1.5
REG99,BAT999,2025-03-31,350,0.6
REG01,BAT001,2025-03-31,N/A,0.51
  REG99  ,BAT015,31/03/2025,,1.5
