id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG05,,2025-02-28,519,0.5
REG99,BAT999,2025-02-28,350,0.6
REG01,,2025-02-28,380,0.65
REG01,BAT001,2025-02-28,323,0.45
REG04,BAT016,2025-02-28,-586,0.733
REG04,BAT013,2025-02-28,-516,0.508
REG02,BAT003,2025-02-28,332,0.318
REG05,BAT015,2025-02-28,905,1.238
REG03,BAT007,2025-02-28,-490,0.705
REG03,BAT006,2025-02-28,99999,0.1
REG01,BAT002,2025-02-28,680,0.53
REG03,BAT008,2025-02-28,722,0.542
,BAT001,2025-02-28,420,0.7
REG03,BAT006,2025-02-28,332,0.547
REG02,BAT003,2025/02/28,510,0.72
REG02,BAT005,2025-02-28,936,0.335
REG02,BAT004,2025-02-28,930,0.788
