id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,,2025-01-31,380,0.65
REG05,BAT015,2025-01-31,462,0.312
REG04,BAT013,2025-01-31,958,0.552
REG99,BAT999,2025-01-31,350,0.6
REG01,BAT001,2025-01-31,567,0.704
REG04,BAT016,2025-01-31,,0.759
REG03,BAT008,2025-01-31,893,0.653
REG02,BAT004,2025-01-31,687,0.547
REG02,BAT003,2025/01/31,510,0.72
REG01,BAT002,2025/01/31,371,0.764
REG03,BAT006,2025-01-31,99999,0.1
REG05,BAT015,2025-01-31,462,0.312
REG02,BAT003,2025-01-31,543,0.663
REG05,BAT014,2025-01-31,360,0.707
REG03,BAT006,2025-01-31,297,0.596
,BAT001,2025-01-31,420,0.7
REG03,BAT007,2025-01-31,556,0.6
REG02,BAT003,2025-01-31,543,0.663
REG02,BAT005,2025-01-31,855,0.383
