id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2025-01-31,641,0.767
,BAT001,2025-01-31,420,0.7
REG03,BAT006,2025-01-31,99999,0.1
REG01,BAT002,2025-01-31,554,0.753
REG04,BAT013,2025/01/31,648,0.463
REG03,BAT008,2025-01-31,964,0.561
REG03,BAT006,2025-01-31,,0.434
REG02,BAT003,2025-01-31,620,0.604
REG04,BAT016,2025-01-31,448,0.569
REG04,BAT016,2025-01-31,448,0.569
REG02,BAT005,2025-01-31,569,0.711
REG02,BAT004,2025-01-31,876,0.48
REG99,BAT999,2025-01-31,350,0.6
REG03,BAT007,2025-01-31,344,0.476
REG05,BAT014,2025-01-31,415,0.754
REG01,,2025-01-31,380,0.65
REG05,BAT015,2025-01-31,297,0.472
REG02,BAT003,2025/01/31,510,0.72
