id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
  REG99  ,BAT006,31/03/2025,,1.5
REG05,BAT014,2025-03-31,634,0.801
REG99,BAT999,2025-03-31,350,0.6
  REG99  ,BAT003,31/03/2025,,1.5
REG01,,2025-03-31,380,0.65
REG04,BAT016,2025-03-31,690,0.583
REG03,BAT007,2025-03-31,942,0.819
  REG99  ,BAT002,31/03/2025,,1.5
REG05,BAT015,2025-03-31,482,0.555
REG03,BAT006,2025-03-31,99999,0.1
,BAT001,2025-03-31,420,0.7
REG04,BAT013,2025-03-31,713,0.433
REG02,BAT005,2025-03-31,297,0.512
REG02,BAT003,2025/03/31,510,0.72
REG01,BAT001,2025-03-31,854,0.624
REG02,BAT004,2025-03-31,239,0.818
REG03,BAT008,2025-03-31,689,0.76
