id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG02,BAT003,2025-03-31,574,0.31
REG05,BAT015,2025-03-31,452,0.538
REG01,BAT002,2025-03-31,758,Non mesuré
  REG99  ,BAT014,31/03/2025,,1.5
REG03,BAT006,2025-03-31,99999,0.1
REG99,BAT999,2025-03-31,350,0.6
  REG99  ,BAT004,31/03/2025,,1.5
REG04,BAT016,2025-03-31,595,0.399
,BAT001,2025-03-31,420,0.7
REG04,BAT013,2025-03-31,380,0.321
  REG99  ,BAT005,31/03/2025,,1.5
  REG99  ,BAT008,31/03/2025,,1.5
REG02,BAT003,2025/03/31,510,0.72
  REG99  ,BAT006,31/03/2025,,1.5
REG01,BAT001,2025-03-31,330,0.598
REG03,BAT007,2025-03-31,740,0.385
REG01,,2025-03-31,380,0.65
