id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG02,BAT003,2025-02-28,933,1.327
REG05,BAT014,2025-02-28,201,0.484
REG05,BAT015,2025-02-28,962,0.804
REG04,BAT016,2025-02-28,357,0.572
REG03,BAT007,2025-02-28,760,0.821
REG01,BAT002,2025-02-28,-641,0.509
REG03,BAT008,2025-02-28,535,0.703
REG04,BAT013,2025-02-28,-471,0.371
REG02,BAT003,2025/02/28,510,0.72
REG03,BAT006,2025-02-28,712,0.571
REG01,BAT001,2025-02-28,841,1.991
REG01,,2025-02-28,380,0.65
REG03,BAT006,2025-02-28,99999,0.1
REG02,BAT005,2025-02-28,488,0.598
REG02,BAT004,2025-02-28,230,1.636
,BAT001,2025-02-28,420,0.7
REG99,BAT999,2025-02-28,350,0.6
