id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG04,BAT013,2025-02-28,927,0.337
REG02,BAT005,2025-02-28,811,0.547
REG02,BAT003,2025/02/28,510,0.72
REG03,BAT006,2025-02-28,99999,0.1
REG05,BAT014,2025-02-28,-443,0.828
REG02,BAT004,2025-02-28,-931,0.409
REG02,BAT003,2025-02-28,528,0.789
REG04,,2025-02-28,214,0.457
REG01,,2025-02-28,380,0.65
REG03,BAT008,2025-02-28,708,0.336
REG01,,2025-02-28,475,0.387
REG05,BAT015,2025-02-28,983,0.31
REG03,BAT007,2025-02-28,782,0.669
,BAT001,2025-02-28,420,0.7
REG01,BAT002,2025-02-28,879,1.12
REG99,BAT999,2025-02-28,350,0.6
REG03,BAT006,2025-02-28,924,0.657
