id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2025-02-28,-289,0.747
REG03,BAT008,2025-02-28,-253,0.495
REG03,BAT007,2025-02-28,-497,0.472
REG05,BAT014,2025-02-28,306,0.652
REG05,,2025-02-28,342,0.312
,BAT001,2025-02-28,420,0.7
REG02,BAT005,2025-02-28,338,0.749
REG01,BAT002,2025-02-28,688,0.728
REG03,BAT006,2025-02-28,801,0.469
REG02,BAT003,2025/02/28,510,0.72
REG03,BAT006,2025-02-28,99999,0.1
REG01,,2025-02-28,380,0.65
REG02,BAT003,2025-02-28,698,0.451
REG99,BAT999,2025-02-28,350,0.6
REG04,BAT013,2025-02-28,-621,0.351
REG02,BAT004,2025-02-28,-250,0.543
REG04,BAT016,2025-02-28,-955,0.348
