id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG02,BAT004,2025-03-31,391,0.768
REG01,BAT002,2025-03-31,575,0.63
REG05,BAT014,2025-03-31,N/A,0.459
  REG99  ,BAT013,31/03/2025,,1.5
REG02,BAT005,2025-03-31,N/A,0.57
  REG99  ,BAT003,31/03/2025,,1.5
REG03,BAT006,2025-03-31,539,0.4
REG03,BAT006,2025-03-31,99999,0.1
REG05,BAT015,2025-03-31,739,0.574
REG04,BAT016,2025-03-31,612,0.628
REG03,BAT007,2025-03-31,253,0.564
REG02,BAT003,2025/03/31,510,0.72
  REG99  ,BAT008,31/03/2025,,1.5
,BAT001,2025-03-31,420,0.7
REG01,BAT001,2025-03-31,531,0.582
REG01,,2025-03-31,380,0.65
REG99,BAT999,2025-03-31,350,0.6
